file, TP, TN, FP, FN
1_block_1_img_20210802_132015_119_rgb_image_cropped_cropped, 5304.000000, 58513.000000, 2209.000000, 13846.000000
1_block_1_img_20210804_140100_604_rgb_image_cropped_cropped, 6575.000000, 51774.000000, 1974.000000, 19549.000000
1_block_1_img_20210806_135331_964_rgb_image_cropped_cropped, 4977.000000, 59555.000000, 3273.000000, 12067.000000
1_block_2_img_20210802_132038_089_rgb_image_cropped_cropped, 5458.000000, 55678.000000, 2710.000000, 16026.000000
1_block_2_img_20210804_140127_120_rgb_image_cropped_cropped, 6622.000000, 55587.000000, 2418.000000, 15245.000000
1_block_2_img_20210806_135347_803_rgb_image_cropped_cropped, 5729.000000, 58792.000000, 2801.000000, 12550.000000
1_block_3_img_20210802_132059_934_rgb_image_cropped_cropped, 3184.000000, 58405.000000, 2369.000000, 15914.000000
1_block_3_img_20210804_140151_160_rgb_image_cropped_cropped, 2958.000000, 59217.000000, 2012.000000, 15685.000000
1_block_3_img_20210806_135405_202_rgb_image_cropped_cropped, 2955.000000, 64234.000000, 1901.000000, 10782.000000
1_block_4_img_20210802_132117_478_rgb_image_cropped_cropped, 4088.000000, 61262.000000, 1803.000000, 12719.000000
1_block_4_img_20210804_140207_119_rgb_image_cropped_cropped, 4091.000000, 53668.000000, 1144.000000, 20969.000000
1_block_4_img_20210806_135423_692_rgb_image_cropped_cropped, 2667.000000, 66507.000000, 3274.000000, 7424.000000
1_block_5_img_20210802_132138_997_rgb_image_cropped_cropped, 0.000000, 73357.000000, 6515.000000, 0.000000
1_block_5_img_20210804_140227_112_rgb_image_cropped_cropped, 6288.000000, 61047.000000, 2294.000000, 10243.000000
1_block_5_img_20210806_135447_125_rgb_image_cropped_cropped, 4025.000000, 67831.000000, 3705.000000, 4311.000000
1_block_6_img_20210802_132157_518_rgb_image_cropped_cropped, 3470.000000, 61882.000000, 4443.000000, 10077.000000
1_block_6_img_20210804_140245_208_rgb_image_cropped_cropped, 5303.000000, 53642.000000, 2526.000000, 18401.000000
1_block_6_img_20210806_135516_150_rgb_image_cropped_cropped, 2394.000000, 67354.000000, 3312.000000, 6812.000000
1_block_7_img_20210802_132221_653_rgb_image_cropped_cropped, 4755.000000, 58662.000000, 2500.000000, 13955.000000
1_block_7_img_20210804_140305_081_rgb_image_cropped_cropped, 5303.000000, 53642.000000, 2526.000000, 18401.000000
1_block_7_img_20210806_135532_619_rgb_image_cropped_cropped, 3312.000000, 64879.000000, 3391.000000, 8290.000000
1_block_8_img_20210802_132241_727_rgb_image_cropped_cropped, 5827.000000, 58609.000000, 3566.000000, 11870.000000
1_block_8_img_20210804_140325_134_rgb_image_cropped_cropped, 5889.000000, 54637.000000, 3597.000000, 15749.000000
1_block_8_img_20210806_135548_471_rgb_image_cropped_cropped, 3418.000000, 68292.000000, 2201.000000, 5961.000000
1_block_9_img_20210802_132259_149_rgb_image_cropped_cropped, 5523.000000, 57386.000000, 2640.000000, 14323.000000
1_block_9_img_20210804_140344_176_rgb_image_cropped_cropped, 4537.000000, 50188.000000, 1160.000000, 23987.000000
1_block_9_img_20210806_135603_500_rgb_image_cropped_cropped, 2812.000000, 66150.000000, 2351.000000, 8559.000000
2_block_1_img_20210802_132419_985_rgb_image_cropped_cropped, 2794.000000, 57907.000000, 2246.000000, 16925.000000
2_block_1_img_20210804_140506_654_rgb_image_cropped_cropped, 4504.000000, 58604.000000, 2632.000000, 14132.000000
2_block_1_img_20210806_135720_292_rgb_image_cropped_cropped, 4383.000000, 62261.000000, 2439.000000, 10789.000000
2_block_2_img_20210802_132441_046_rgb_image_cropped_cropped, 4322.000000, 56347.000000, 1419.000000, 17784.000000
2_block_2_img_20210804_140532_116_rgb_image_cropped_cropped, 4830.000000, 58376.000000, 2599.000000, 14067.000000
2_block_2_img_20210806_135738_071_rgb_image_cropped_cropped, 4365.000000, 63564.000000, 2888.000000, 9055.000000
2_block_3_img_20210802_132458_461_rgb_image_cropped_cropped, 5072.000000, 54411.000000, 2093.000000, 18296.000000
2_block_3_img_20210804_140552_386_rgb_image_cropped_cropped, 7559.000000, 48389.000000, 1566.000000, 22358.000000
2_block_3_img_20210806_135758_611_rgb_image_cropped_cropped, 5694.000000, 59201.000000, 1966.000000, 13011.000000
2_block_4_img_20210802_132515_618_rgb_image_cropped_cropped, 4335.000000, 58533.000000, 1627.000000, 15377.000000
2_block_4_img_20210804_140610_188_rgb_image_cropped_cropped, 4814.000000, 55920.000000, 2063.000000, 17075.000000
2_block_4_img_20210806_135815_613_rgb_image_cropped_cropped, 2125.000000, 61891.000000, 3343.000000, 12513.000000
2_block_5_img_20210802_132554_719_rgb_image_cropped_cropped, 3373.000000, 58495.000000, 1537.000000, 16467.000000
2_block_5_img_20210804_140629_123_rgb_image_cropped_cropped, 3465.000000, 61391.000000, 1729.000000, 13287.000000
2_block_5_img_20210806_135847_133_rgb_image_cropped_cropped, 2933.000000, 62851.000000, 2647.000000, 11441.000000
2_block_6_img_20210802_132611_612_rgb_image_cropped_cropped, 4916.000000, 57046.000000, 3173.000000, 14737.000000
2_block_6_img_20210804_140645_749_rgb_image_cropped_cropped, 5307.000000, 55503.000000, 2317.000000, 16745.000000
2_block_6_img_20210806_135906_180_rgb_image_cropped_cropped, 2933.000000, 62851.000000, 2647.000000, 11441.000000
2_block_7_img_20210802_132629_668_rgb_image_cropped_cropped, 4916.000000, 57046.000000, 3173.000000, 14737.000000
2_block_7_img_20210804_140708_631_rgb_image_cropped_cropped, 5932.000000, 51931.000000, 1995.000000, 20014.000000
2_block_7_img_20210806_135926_233_rgb_image_cropped_cropped, 3934.000000, 58393.000000, 3129.000000, 14416.000000
2_block_8_img_20210802_132651_137_rgb_image_cropped_cropped, 3703.000000, 61301.000000, 1386.000000, 13482.000000
2_block_8_img_20210804_140732_634_rgb_image_cropped_cropped, 0.000000, 74394.000000, 5478.000000, 0.000000
2_block_9_img_20210802_132708_619_rgb_image_cropped_cropped, 3115.000000, 65311.000000, 2192.000000, 9254.000000
2_block_9_img_20210804_140750_348_rgb_image_cropped_cropped, 2818.000000, 61815.000000, 1199.000000, 14040.000000
2_block_9_img_20210806_140000_578_rgb_image_cropped_cropped, 2098.000000, 68139.000000, 1402.000000, 8233.000000
3_block_1_img_20210802_132813_858_rgb_image_cropped_cropped, 3170.000000, 62996.000000, 1519.000000, 12187.000000
3_block_1_img_20210804_140850_349_rgb_image_cropped_cropped, 4225.000000, 57571.000000, 2054.000000, 16022.000000
3_block_1_img_20210806_140125_964_rgb_image_cropped_cropped, 4629.000000, 64238.000000, 3104.000000, 7901.000000
